"filename", "language", "JSON", "HTML", "XML", "JavaScript", "PostCSS", "comment", "blank", "total"
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\about.html", "HTML", 0, 176, 0, 0, 0, 0, 20, 196
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\base\_reset.css", "PostCSS", 0, 0, 0, 0, 15, 0, 0, 15
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\base\_typography.css", "PostCSS", 0, 0, 0, 0, 28, 0, 0, 28
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\base\_variables.css", "PostCSS", 0, 0, 0, 0, 13, 0, 0, 13
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\components\_buttons.css", "PostCSS", 0, 0, 0, 0, 28, 0, 0, 28
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\components\_cards.css", "PostCSS", 0, 0, 0, 0, 62, 3, 2, 67
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\components\_header-footer.css", "PostCSS", 0, 0, 0, 0, 204, 6, 9, 219
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\layout\_grid.css", "PostCSS", 0, 0, 0, 0, 14, 0, 0, 14
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\layout\_responsive.css", "PostCSS", 0, 0, 0, 0, 77, 9, 12, 98
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\main.css", "PostCSS", 0, 0, 0, 0, 16, 6, 4, 26
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\pages\_about.css", "PostCSS", 0, 0, 0, 0, 210, 9, 8, 227
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\pages\_cases.css", "PostCSS", 0, 0, 0, 0, 99, 6, 4, 109
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\pages\_contact.css", "PostCSS", 0, 0, 0, 0, 138, 8, 7, 153
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\pages\_index.css", "PostCSS", 0, 0, 0, 0, 203, 16, 22, 241
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\pages\_products.css", "PostCSS", 0, 0, 0, 0, 58, 5, 13, 76
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\pages\_services.css", "PostCSS", 0, 0, 0, 0, 67, 6, 16, 89
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\css\pages\products\_product-category.css", "PostCSS", 0, 0, 0, 0, 58, 7, 8, 73
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\js\contact-map.js", "JavaScript", 0, 0, 0, 61, 0, 9, 10, 80
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\js\footer.js", "JavaScript", 0, 0, 0, 78, 0, 1, 1, 80
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\js\header.js", "JavaScript", 0, 0, 0, 58, 0, 0, 0, 58
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\assets\js\main.js", "JavaScript", 0, 0, 0, 119, 0, 21, 27, 167
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\cases.html", "HTML", 0, 115, 0, 0, 0, 0, 14, 129
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\contact.html", "HTML", 0, 100, 0, 0, 0, 0, 13, 113
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\favicon.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\index.html", "HTML", 0, 202, 0, 0, 0, 0, 19, 221
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\manifest.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 21
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\ongoing.html", "HTML", 0, 57, 0, 0, 0, 0, 7, 64
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\package-lock.json", "JSON", 117, 0, 0, 0, 0, 0, 1, 118
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\package.json", "JSON", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\gas\gas-absorption-tower.html", "HTML", 0, 43, 0, 0, 0, 0, 9, 52
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\gas\index.html", "HTML", 0, 58, 0, 0, 0, 0, 5, 63
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\gas\ke-series-purifier.html", "HTML", 0, 46, 0, 0, 0, 0, 9, 55
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\product_lib\water\index.html", "HTML", 0, 94, 0, 0, 0, 0, 9, 103
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\products.html", "HTML", 0, 105, 0, 0, 0, 0, 15, 120
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\services.html", "HTML", 0, 128, 0, 0, 0, 0, 14, 142
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\web\site.webmanifest", "JSON", 21, 0, 0, 0, 0, 0, 0, 21
"Total", "-", 166, 1124, 3, 316, 1290, 112, 279, 3290
