"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "XML", "PHP", "PostCSS", "Python", "comment", "blank", "total"
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\generate-products.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 2, 18, 77
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\package-lock.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\package.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\product-template.html", "HTML", 0, 0, 57, 0, 0, 0, 0, 0, 0, 7, 64
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Automatic_dry_powder_feeders.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Chlorine_dioxide_generators_chemical_method.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Chlorine_dioxide_generators_electrolytic.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Electronic_scale_removal_devices.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Fully_automatic_chemical_dosing_skids.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\General_chemical_dosing_units.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\In_line_static_mixers.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Ozone_generators.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Powder_metering_feeders.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Power_plant_chemical_feed_systems.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Sodium_hypochlorite_generators.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Submersible_dosing_systems.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\UV_disinfection_reactors.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\WA_series_dosing_skids.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\dust\Cyclone_dust_collectors.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\dust\Electrostatic_precipitators_ESP.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\dust\High_efficiency_wet_film_scrubbers.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\gas\Acid_alkali_gas_scrubbing_towers.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\gas\Flue_gas_desulfurization_denitrification_equipment.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\gas\Odor_control_deodorization_units.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\gas\Packed_bed_exhaust_gas_scrubbers.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\gas\Thermal_oxidizers_incinerators.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\gas\ke-series-purifier.md", "Markdown", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
