Date : 2025-07-08 17:33:40
Directory : c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb
Total : 353 files,  14635 codes, 147 comments, 1562 blanks, all 16344 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |        162 |      9,741 |          0 |      1,343 |     11,084 |
| Markdown   |        154 |      1,684 |          0 |         16 |      1,700 |
| PostCSS    |         17 |      1,491 |         91 |        123 |      1,705 |
| JSON       |         12 |      1,085 |          0 |         10 |      1,095 |
| JavaScript |          5 |        373 |         33 |         56 |        462 |
| Python     |          1 |        201 |         20 |          6 |        227 |
| PHP        |          1 |         57 |          3 |          8 |         68 |
| XML        |          1 |          3 |          0 |          0 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                  |        353 |     14,635 |        147 |      1,562 |     16,344 |
| . (Files)                                                                                                                                          |          5 |        263 |          2 |         28 |        293 |
| src_products                                                                                                                                       |        154 |      1,883 |         20 |         21 |      1,924 |
| src_products (Files)                                                                                                                               |          2 |        211 |         20 |         21 |        252 |
| src_products\disinfection                                                                                                                          |         14 |        154 |          0 |          0 |        154 |
| src_products\dust                                                                                                                                  |          3 |         33 |          0 |          0 |         33 |
| src_products\gas                                                                                                                                   |          6 |         66 |          0 |          0 |         66 |
| src_products\parts                                                                                                                                 |         39 |        429 |          0 |          0 |        429 |
| src_products\water                                                                                                                                 |         46 |        506 |          0 |          0 |        506 |
| src_products\water_supply                                                                                                                          |         44 |        484 |          0 |          0 |        484 |
| web                                                                                                                                                |        194 |     12,489 |        125 |      1,513 |     14,127 |
| web (Files)                                                                                                                                        |         12 |      1,052 |          0 |        104 |      1,156 |
| web\assets                                                                                                                                         |         21 |      1,807 |        122 |        161 |      2,090 |
| web\assets\css                                                                                                                                     |         17 |      1,491 |         91 |        123 |      1,705 |
| web\assets\css (Files)                                                                                                                             |          1 |         16 |          6 |          4 |         26 |
| web\assets\css\base                                                                                                                                |          3 |         56 |          0 |          0 |         56 |
| web\assets\css\components                                                                                                                          |          3 |        294 |          9 |         11 |        314 |
| web\assets\css\layout                                                                                                                              |          2 |         91 |          9 |         12 |        112 |
| web\assets\css\pages                                                                                                                               |          8 |      1,034 |         67 |         96 |      1,197 |
| web\assets\css\pages (Files)                                                                                                                       |          6 |        775 |         50 |         70 |        895 |
| web\assets\css\pages\products                                                                                                                      |          2 |        259 |         17 |         26 |        302 |
| web\assets\js                                                                                                                                      |          4 |        316 |         31 |         38 |        385 |
| web\product_lib                                                                                                                                    |        161 |      9,630 |          3 |      1,248 |     10,881 |
| web\product_lib\disinfection                                                                                                                       |         15 |        870 |          0 |        113 |        983 |
| web\product_lib\dust                                                                                                                               |          4 |        188 |          0 |         25 |        213 |
| web\product_lib\gas                                                                                                                                |          9 |        474 |          3 |         66 |        543 |
| web\product_lib\parts                                                                                                                              |         40 |      2,420 |          0 |        313 |      2,733 |
| web\product_lib\water                                                                                                                              |         48 |      2,948 |          0 |        378 |      3,326 |
| web\product_lib\water_supply                                                                                                                       |         45 |      2,730 |          0 |        353 |      3,083 |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                           | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\README.md                                                                                       | Markdown   |          2 |          0 |          1 |          3 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\generate-products.js                                                                            | JavaScript |         57 |          2 |         18 |         77 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\package-lock.json                                                                               | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\package.json                                                                                    | JSON       |         25 |          0 |          1 |         26 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\product-template.html                                                                           | HTML       |         57 |          0 |          7 |         64 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Automatic_dry_powder_feeders.md                                       | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Chlorine_dioxide_generators_chemical_method.md                        | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Chlorine_dioxide_generators_electrolytic.md                           | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Electronic_scale_removal_devices.md                                   | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Fully_automatic_chemical_dosing_skids.md                              | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\General_chemical_dosing_units.md                                      | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\In_line_static_mixers.md                                              | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Ozone_generators.md                                                   | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Powder_metering_feeders.md                                            | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Power_plant_chemical_feed_systems.md                                  | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Sodium_hypochlorite_generators.md                                     | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\Submersible_dosing_systems.md                                         | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\UV_disinfection_reactors.md                                           | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\disinfection\WA_series_dosing_skids.md                                             | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\dust\Cyclone_dust_collectors.md                                                    | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\dust\Electrostatic_precipitators_ESP.md                                            | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\dust\High_efficiency_wet_film_scrubbers.md                                         | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\gas\Acid_alkali_gas_scrubbing_towers.md                                            | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\gas\Flue_gas_desulfurization_denitrification_equipment.md                          | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\gas\Odor_control_deodorization_units.md                                            | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\gas\Packed_bed_exhaust_gas_scrubbers.md                                            | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\gas\Thermal_oxidizers_incinerators.md                                              | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\gas\ke-series-purifier.md                                                          | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\generate_md.py                                                                     | Python     |        201 |         20 |          6 |        227 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\md_template.md                                                                     | Markdown   |         10 |          0 |         15 |         25 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\ABS_strainers_filter_nozzles.md                                              | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Active_bio_media_moving_bed.md                                               | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Adjustable_weir_gates.md                                                     | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Alumina_ceramic_balls.md                                                     | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Anthracite_filter_media.md                                                   | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Braided_rope_packing.md                                                      | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Cast_iron_round_gates_bronze_seated.md                                       | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Cast_iron_square_gates_bronze_seated.md                                      | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Cast_iron_tide_flap_gates.md                                                 | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Ceramic_Raschig_rings.md                                                     | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Ceramic_ceramsite_filter_media.md                                            | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Corrugated_structured_packing.md                                             | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Double_ring_combined_packing.md                                              | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Drift_mist_eliminators.md                                                    | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\FRP_cover_panels.md                                                          | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\FRP_ductwork.md                                                              | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\FRP_filament_wound_storage_tanks.md                                          | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\FRP_storage_vessels.md                                                       | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Flat_slide_gates.md                                                          | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Flexible_elastic_bio_filler.md                                               | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Fully_sealed_sanitary_metal_water_tanks.md                                   | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Gate_hoist_mechanisms.md                                                     | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Hexagonal_honeycomb_media.md                                                 | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Hollow_plastic_balls.md                                                      | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\PAC_coagulant.md                                                             | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Plastic_Pall_flower_rings.md                                                 | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Pressure_resistant_corrosion_proof_tanks.md                                  | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Sectional_welded_stainless_steel_water_tanks.md                              | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Semi_soft_packing_media.md                                                   | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Silica_sand_filter_media.md                                                  | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Skylight_domes_daylighting_covers.md                                         | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Spherical_water_tanks.md                                                     | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Spray_nozzles_various_types.md                                               | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Square_grid_packing.md                                                       | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Stainless_steel_sanitary_water_tanks.md                                      | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Stainless_steel_sluice_gates.md                                              | Markdown   |         11 |          0 |          0 |         11 |
| c:\Users\60991\OneDrive\Documents\GitHub\TianyuWeb\src_products\parts\Stainless_steel_wedge_wire_screens.md                                        | Markdown   |         11 |          0 |          0 |         11 |
